OS_Threads,Execution_Time_sec,Points_per_Partition,Partitions,Time_Steps
8,                    53.153955205, 160,                  625000,               50                   
8,                    52.707468799, 160,                  625000,               50                   
8,                    52.61131464, 160,                  625000,               50                   
8,                    51.238740239, 160,                  625000,               50                   
8,                    52.432973867, 160,                  625000,               50                   
8,                    26.582218735, 320,                  312500,               50                   
8,                    26.759981017, 320,                  312500,               50                   
8,                    26.789228058, 320,                  312500,               50                   
8,                    27.078443018, 320,                  312500,               50                   
8,                    27.057526603, 320,                  312500,               50                   
8,                    14.106997593, 640,                  156250,               50                   
8,                    14.283662871, 640,                  156250,               50                   
8,                    13.798119539, 640,                  156250,               50                   
8,                    14.237989707, 640,                  156250,               50                   
8,                    13.583058903, 640,                  156250,               50                   
8,                    9.715830047, 1000,                 100000,               50                   
8,                    9.499319595, 1000,                 100000,               50                   
8,                    9.445818874, 1000,                 100000,               50                   
8,                    9.355923297, 1000,                 100000,               50                   
8,                    9.112534504, 1000,                 100000,               50                   
8,                    7.691061097, 1250,                 80000,                50                   
8,                    7.778631496, 1250,                 80000,                50                   
8,                    7.764657689, 1250,                 80000,                50                   
8,                    7.818288036, 1250,                 80000,                50                   
8,                    7.857142116, 1250,                 80000,                50                   
8,                    7.635702382, 1280,                 78125,                50                   
8,                    7.465445538, 1280,                 78125,                50                   
8,                    7.523307359, 1280,                 78125,                50                   
8,                    7.637340525, 1280,                 78125,                50                   
8,                    7.6847661, 1280,                 78125,                50                   
8,                    6.323141003, 1600,                 62500,                50                   
8,                    6.326914073, 1600,                 62500,                50                   
8,                    6.201008923, 1600,                 62500,                50                   
8,                    6.449057806, 1600,                 62500,                50                   
8,                    6.094354066, 1600,                 62500,                50                   
8,                    5.549940768, 2000,                 50000,                50                   
8,                    5.436545149, 2000,                 50000,                50                   
8,                    5.477942105, 2000,                 50000,                50                   
8,                    5.586339351, 2000,                 50000,                50                   
8,                    5.405859357, 2000,                 50000,                50                   
8,                    4.972780589, 2500,                 40000,                50                   
8,                    5.008261636, 2500,                 40000,                50                   
8,                    4.923503424, 2500,                 40000,                50                   
8,                    4.934468368, 2500,                 40000,                50                   
8,                    4.976135254, 2500,                 40000,                50                   
8,                    4.733960235, 3125,                 32000,                50                   
8,                    4.661750202, 3125,                 32000,                50                   
8,                    4.726032813, 3125,                 32000,                50                   
8,                    4.7002455, 3125,                 32000,                50                   
8,                    4.744759676, 3125,                 32000,                50                   
8,                    4.655851225, 3200,                 31250,                50                   
8,                    4.703773287, 3200,                 31250,                50                   
8,                    4.683642329, 3200,                 31250,                50                   
8,                    4.674785573, 3200,                 31250,                50                   
8,                    4.741002927, 3200,                 31250,                50                   
8,                    4.656524729, 4000,                 25000,                50                   
8,                    4.679712713, 4000,                 25000,                50                   
8,                    4.680196002, 4000,                 25000,                50                   
8,                    4.67795943, 4000,                 25000,                50                   
8,                    4.682961494, 4000,                 25000,                50                   
8,                    4.633441302, 5000,                 20000,                50                   
8,                    4.636485464, 5000,                 20000,                50                   
8,                    4.638278605, 5000,                 20000,                50                   
8,                    4.65465084, 5000,                 20000,                50                   
8,                    4.637568029, 5000,                 20000,                50                   
8,                    4.515105445, 6250,                 16000,                50                   
8,                    4.523246732, 6250,                 16000,                50                   
8,                    4.511070369, 6250,                 16000,                50                   
8,                    4.525026441, 6250,                 16000,                50                   
8,                    4.52724418, 6250,                 16000,                50                   
8,                    4.518941736, 6400,                 15625,                50                   
8,                    4.517365668, 6400,                 15625,                50                   
8,                    4.528444346, 6400,                 15625,                50                   
8,                    4.522408149, 6400,                 15625,                50                   
8,                    4.522215834, 6400,                 15625,                50                   
8,                    4.42211159, 8000,                 12500,                50                   
8,                    4.424089311, 8000,                 12500,                50                   
8,                    4.412813331, 8000,                 12500,                50                   
8,                    4.425947004, 8000,                 12500,                50                   
8,                    4.430621828, 8000,                 12500,                50                   
8,                    3.283087957, 10000,                10000,                50                   
8,                    4.334691022, 10000,                10000,                50                   
8,                    4.32447374, 10000,                10000,                50                   
8,                    4.333671894, 10000,                10000,                50                   
8,                    4.347818772, 10000,                10000,                50                   
8,                    3.621404151, 12500,                8000,                 50                   
8,                    4.177653129, 12500,                8000,                 50                   
8,                    3.823319288, 12500,                8000,                 50                   
8,                    4.22512581, 12500,                8000,                 50                   
8,                    3.073865586, 12500,                8000,                 50                   
8,                    3.536567333, 15625,                6400,                 50                   
8,                    3.684236162, 15625,                6400,                 50                   
8,                    3.364910765, 15625,                6400,                 50                   
8,                    2.948974017, 15625,                6400,                 50                   
8,                    3.004919756, 15625,                6400,                 50                   
8,                    3.171740646, 16000,                6250,                 50                   
8,                    3.616236431, 16000,                6250,                 50                   
8,                    3.63275191, 16000,                6250,                 50                   
8,                    3.386018054, 16000,                6250,                 50                   
8,                    3.293126921, 16000,                6250,                 50                   
8,                    3.0615441, 20000,                5000,                 50                   
8,                    2.89078159, 20000,                5000,                 50                   
8,                    2.875523957, 20000,                5000,                 50                   
8,                    2.616410938, 20000,                5000,                 50                   
8,                    2.872472514, 20000,                5000,                 50                   
8,                    2.745020715, 25000,                4000,                 50                   
8,                    3.0032024, 25000,                4000,                 50                   
8,                    2.660330825, 25000,                4000,                 50                   
8,                    2.573055477, 25000,                4000,                 50                   
8,                    3.121189306, 25000,                4000,                 50                   
8,                    2.9447009, 31250,                3200,                 50                   
8,                    2.820411887, 31250,                3200,                 50                   
8,                    3.268666049, 31250,                3200,                 50                   
8,                    2.571128163, 31250,                3200,                 50                   
8,                    2.802399982, 31250,                3200,                 50                   
8,                    2.888096089, 32000,                3125,                 50                   
8,                    2.754054904, 32000,                3125,                 50                   
8,                    2.93402207, 32000,                3125,                 50                   
8,                    2.777787352, 32000,                3125,                 50                   
8,                    2.813041569, 32000,                3125,                 50                   
8,                    2.898425503, 40000,                2500,                 50                   
8,                    2.707382679, 40000,                2500,                 50                   
8,                    2.697414132, 40000,                2500,                 50                   
8,                    2.920783411, 40000,                2500,                 50                   
8,                    2.840031787, 40000,                2500,                 50                   
8,                    2.995116415, 50000,                2000,                 50                   
8,                    2.996684211, 50000,                2000,                 50                   
8,                    2.868476356, 50000,                2000,                 50                   
8,                    2.710301876, 50000,                2000,                 50                   
8,                    2.787041728, 50000,                2000,                 50                   
8,                    2.982855207, 62500,                1600,                 50                   
8,                    3.098171527, 62500,                1600,                 50                   
8,                    3.104401588, 62500,                1600,                 50                   
8,                    3.100854898, 62500,                1600,                 50                   
8,                    3.132939065, 62500,                1600,                 50                   
8,                    3.357809261, 78125,                1280,                 50                   
8,                    3.150042099, 78125,                1280,                 50                   
8,                    3.039276152, 78125,                1280,                 50                   
8,                    3.086659771, 78125,                1280,                 50                   
8,                    3.286172691, 78125,                1280,                 50                   
8,                    3.174281678, 80000,                1250,                 50                   
8,                    3.12837752, 80000,                1250,                 50                   
8,                    3.432742983, 80000,                1250,                 50                   
8,                    3.132194513, 80000,                1250,                 50                   
8,                    3.15800086, 80000,                1250,                 50                   
8,                    3.501076136, 100000,               1000,                 50                   
8,                    3.48331831, 100000,               1000,                 50                   
8,                    3.399870308, 100000,               1000,                 50                   
8,                    3.394705693, 100000,               1000,                 50                   
8,                    3.480205249, 100000,               1000,                 50                   
8,                    3.657372491, 125000,               800,                  50                   
8,                    3.688927994, 125000,               800,                  50                   
8,                    3.64693864, 125000,               800,                  50                   
8,                    3.647428596, 125000,               800,                  50                   
8,                    3.643033839, 125000,               800,                  50                   
8,                    3.821324225, 156250,               640,                  50                   
8,                    3.804739917, 156250,               640,                  50                   
8,                    3.798139557, 156250,               640,                  50                   
8,                    3.828354645, 156250,               640,                  50                   
8,                    3.817941638, 156250,               640,                  50                   
8,                    3.820964158, 160000,               625,                  50                   
8,                    3.841901761, 160000,               625,                  50                   
8,                    3.844049245, 160000,               625,                  50                   
8,                    3.831989849, 160000,               625,                  50                   
8,                    3.799213057, 160000,               625,                  50                   
8,                    3.894212494, 200000,               500,                  50                   
8,                    3.882522639, 200000,               500,                  50                   
8,                    3.888869745, 200000,               500,                  50                   
8,                    3.890407878, 200000,               500,                  50                   
8,                    3.892499917, 200000,               500,                  50                   
8,                    3.910592025, 250000,               400,                  50                   
8,                    3.906014058, 250000,               400,                  50                   
8,                    3.901539591, 250000,               400,                  50                   
8,                    3.905525383, 250000,               400,                  50                   
8,                    3.906693017, 250000,               400,                  50                   
8,                    3.916847192, 312500,               320,                  50                   
8,                    3.905648054, 312500,               320,                  50                   
8,                    3.904904847, 312500,               320,                  50                   
8,                    3.914981441, 312500,               320,                  50                   
8,                    3.917776847, 312500,               320,                  50                   
8,                    3.913576386, 390625,               256,                  50                   
8,                    3.911285928, 390625,               256,                  50                   
8,                    3.912795385, 390625,               256,                  50                   
8,                    3.911965207, 390625,               256,                  50                   
8,                    3.915960335, 390625,               256,                  50                   
8,                    3.912742741, 400000,               250,                  50                   
8,                    3.913191182, 400000,               250,                  50                   
8,                    3.913558285, 400000,               250,                  50                   
8,                    3.913532075, 400000,               250,                  50                   
8,                    3.916944244, 400000,               250,                  50                   
8,                    3.911878338, 500000,               200,                  50                   
8,                    3.91186106, 500000,               200,                  50                   
8,                    3.913031163, 500000,               200,                  50                   
8,                    3.91242826, 500000,               200,                  50                   
8,                    3.910132274, 500000,               200,                  50                   
8,                    3.905227121, 625000,               160,                  50                   
8,                    3.905940091, 625000,               160,                  50                   
8,                    3.907628349, 625000,               160,                  50                   
8,                    3.902324068, 625000,               160,                  50                   
8,                    3.90906433, 625000,               160,                  50                   
8,                    3.904684674, 781250,               128,                  50                   
8,                    3.904888107, 781250,               128,                  50                   
8,                    3.905370423, 781250,               128,                  50                   
8,                    3.891059785, 781250,               128,                  50                   
8,                    3.906645348, 781250,               128,                  50                   
8,                    3.905519675, 800000,               125,                  50                   
8,                    3.898699895, 800000,               125,                  50                   
8,                    3.90488005, 800000,               125,                  50                   
8,                    3.905685996, 800000,               125,                  50                   
8,                    3.897895494, 800000,               125,                  50                   
8,                    3.89985252, 1000000,              100,                  50                   
8,                    3.901984393, 1000000,              100,                  50                   
8,                    3.902787318, 1000000,              100,                  50                   
8,                    3.900068751, 1000000,              100,                  50                   
8,                    3.891577127, 1000000,              100,                  50                   
8,                    3.892893746, 1250000,              80,                   50                   
8,                    3.891955159, 1250000,              80,                   50                   
8,                    3.893976297, 1250000,              80,                   50                   
8,                    3.887212087, 1250000,              80,                   50                   
8,                    3.892136045, 1250000,              80,                   50                   
8,                    3.886901975, 1562500,              64,                   50                   
8,                    3.893892718, 1562500,              64,                   50                   
8,                    3.895156862, 1562500,              64,                   50                   
8,                    3.89677415, 1562500,              64,                   50                   
8,                    3.900372633, 1562500,              64,                   50                   
8,                    3.894222874, 2000000,              50,                   50                   
8,                    3.89813417, 2000000,              50,                   50                   
