OS_Threads,Execution_Time_sec,Points_per_Partition,Partitions,Time_Steps
16,                   124.010865375, 160,                  625000,               50                   
16,                   130.501534714, 160,                  625000,               50                   
16,                   134.568273198, 160,                  625000,               50                   
16,                   130.09734029, 160,                  625000,               50                   
16,                   130.397010963, 160,                  625000,               50                   
16,                   67.366120597, 320,                  312500,               50                   
16,                   65.418357877, 320,                  312500,               50                   
16,                   66.424091133, 320,                  312500,               50                   
16,                   66.607982427, 320,                  312500,               50                   
16,                   65.825279031, 320,                  312500,               50                   
16,                   33.750722437, 640,                  156250,               50                   
16,                   34.31563637, 640,                  156250,               50                   
16,                   33.123214844, 640,                  156250,               50                   
16,                   32.383708129, 640,                  156250,               50                   
16,                   33.215173659, 640,                  156250,               50                   
16,                   20.993228446, 1000,                 100000,               50                   
16,                   21.731441125, 1000,                 100000,               50                   
16,                   21.862351398, 1000,                 100000,               50                   
16,                   21.520797673, 1000,                 100000,               50                   
16,                   21.811843312, 1000,                 100000,               50                   
16,                   17.953353013, 1250,                 80000,                50                   
16,                   17.603315139, 1250,                 80000,                50                   
16,                   18.028315627, 1250,                 80000,                50                   
16,                   17.721678176, 1250,                 80000,                50                   
16,                   17.85642252, 1250,                 80000,                50                   
16,                   17.086675773, 1280,                 78125,                50                   
16,                   16.838163649, 1280,                 78125,                50                   
16,                   17.382981611, 1280,                 78125,                50                   
16,                   17.146225302, 1280,                 78125,                50                   
16,                   17.225052513, 1280,                 78125,                50                   
16,                   13.892476421, 1600,                 62500,                50                   
16,                   13.927100601, 1600,                 62500,                50                   
16,                   13.862560741, 1600,                 62500,                50                   
16,                   14.039508386, 1600,                 62500,                50                   
16,                   13.906498042, 1600,                 62500,                50                   
16,                   11.18430653, 2000,                 50000,                50                   
16,                   11.446060042, 2000,                 50000,                50                   
16,                   11.078480028, 2000,                 50000,                50                   
16,                   11.19043086, 2000,                 50000,                50                   
16,                   11.291028762, 2000,                 50000,                50                   
16,                   9.272735194, 2500,                 40000,                50                   
16,                   8.919442319, 2500,                 40000,                50                   
16,                   9.0241624, 2500,                 40000,                50                   
16,                   8.908219981, 2500,                 40000,                50                   
16,                   9.11341538, 2500,                 40000,                50                   
16,                   7.353223807, 3125,                 32000,                50                   
16,                   7.460388937, 3125,                 32000,                50                   
16,                   7.310027106, 3125,                 32000,                50                   
16,                   7.199505599, 3125,                 32000,                50                   
16,                   7.640274023, 3125,                 32000,                50                   
16,                   7.18581868, 3200,                 31250,                50                   
16,                   7.328874493, 3200,                 31250,                50                   
16,                   7.150703228, 3200,                 31250,                50                   
16,                   7.380594294, 3200,                 31250,                50                   
16,                   7.02796502, 3200,                 31250,                50                   
16,                   6.257267665, 4000,                 25000,                50                   
16,                   5.928064699, 4000,                 25000,                50                   
16,                   6.007669057, 4000,                 25000,                50                   
16,                   6.376131245, 4000,                 25000,                50                   
16,                   6.28618198, 4000,                 25000,                50                   
16,                   4.97533812, 5000,                 20000,                50                   
16,                   5.052584739, 5000,                 20000,                50                   
16,                   5.434466163, 5000,                 20000,                50                   
16,                   5.354539605, 5000,                 20000,                50                   
16,                   5.02989218, 5000,                 20000,                50                   
16,                   4.199792754, 6250,                 16000,                50                   
16,                   4.271677571, 6250,                 16000,                50                   
16,                   4.569349898, 6250,                 16000,                50                   
16,                   4.150442499, 6250,                 16000,                50                   
16,                   4.191940118, 6250,                 16000,                50                   
16,                   4.293905109, 6400,                 15625,                50                   
16,                   4.075987361, 6400,                 15625,                50                   
16,                   4.562604564, 6400,                 15625,                50                   
16,                   4.15921598, 6400,                 15625,                50                   
16,                   4.581014714, 6400,                 15625,                50                   
16,                   4.086555736, 8000,                 12500,                50                   
16,                   4.113447218, 8000,                 12500,                50                   
16,                   3.634083635, 8000,                 12500,                50                   
16,                   3.740615512, 8000,                 12500,                50                   
16,                   4.112966458, 8000,                 12500,                50                   
16,                   3.365779892, 10000,                10000,                50                   
16,                   3.315206033, 10000,                10000,                50                   
16,                   3.31277398, 10000,                10000,                50                   
16,                   3.330531731, 10000,                10000,                50                   
16,                   3.798825065, 10000,                10000,                50                   
16,                   3.500599308, 12500,                8000,                 50                   
16,                   3.285738381, 12500,                8000,                 50                   
16,                   3.513053404, 12500,                8000,                 50                   
16,                   3.491206522, 12500,                8000,                 50                   
16,                   3.297158163, 12500,                8000,                 50                   
16,                   2.297108773, 15625,                6400,                 50                   
16,                   3.312947559, 15625,                6400,                 50                   
16,                   3.317321582, 15625,                6400,                 50                   
16,                   2.807318893, 15625,                6400,                 50                   
16,                   2.951592919, 15625,                6400,                 50                   
16,                   3.2808176, 16000,                6250,                 50                   
16,                   2.919000575, 16000,                6250,                 50                   
16,                   3.285731441, 16000,                6250,                 50                   
16,                   3.26422039, 16000,                6250,                 50                   
16,                   2.868217326, 16000,                6250,                 50                   
16,                   3.180866229, 20000,                5000,                 50                   
16,                   2.289401118, 20000,                5000,                 50                   
16,                   3.159780618, 20000,                5000,                 50                   
16,                   2.229843183, 20000,                5000,                 50                   
16,                   3.166760529, 20000,                5000,                 50                   
16,                   2.284703549, 25000,                4000,                 50                   
16,                   2.329363439, 25000,                4000,                 50                   
16,                   2.270508976, 25000,                4000,                 50                   
16,                   2.241208888, 25000,                4000,                 50                   
16,                   2.276633816, 25000,                4000,                 50                   
16,                   2.32124542, 31250,                3200,                 50                   
16,                   2.275355454, 31250,                3200,                 50                   
16,                   2.272865381, 31250,                3200,                 50                   
16,                   2.225199939, 31250,                3200,                 50                   
16,                   2.295436071, 31250,                3200,                 50                   
16,                   2.295533945, 32000,                3125,                 50                   
16,                   2.238785714, 32000,                3125,                 50                   
16,                   2.226174455, 32000,                3125,                 50                   
16,                   2.288015506, 32000,                3125,                 50                   
16,                   2.329064401, 32000,                3125,                 50                   
16,                   2.308610578, 40000,                2500,                 50                   
16,                   2.286105391, 40000,                2500,                 50                   
16,                   2.19973713, 40000,                2500,                 50                   
16,                   2.267365896, 40000,                2500,                 50                   
16,                   2.298852329, 40000,                2500,                 50                   
16,                   2.430082295, 50000,                2000,                 50                   
16,                   2.365857631, 50000,                2000,                 50                   
16,                   2.436680882, 50000,                2000,                 50                   
16,                   2.379767555, 50000,                2000,                 50                   
16,                   2.257389329, 50000,                2000,                 50                   
16,                   2.494262129, 62500,                1600,                 50                   
16,                   2.458928962, 62500,                1600,                 50                   
16,                   2.500528176, 62500,                1600,                 50                   
16,                   2.472709449, 62500,                1600,                 50                   
16,                   2.404355241, 62500,                1600,                 50                   
16,                   2.52671531, 78125,                1280,                 50                   
16,                   2.585342811, 78125,                1280,                 50                   
16,                   2.516761623, 78125,                1280,                 50                   
16,                   2.542985563, 78125,                1280,                 50                   
16,                   2.589326561, 78125,                1280,                 50                   
16,                   2.573807059, 80000,                1250,                 50                   
16,                   2.58890175, 80000,                1250,                 50                   
16,                   2.60880137, 80000,                1250,                 50                   
16,                   2.566201775, 80000,                1250,                 50                   
16,                   2.539598531, 80000,                1250,                 50                   
16,                   2.686950133, 100000,               1000,                 50                   
16,                   2.657104879, 100000,               1000,                 50                   
16,                   2.68096057, 100000,               1000,                 50                   
16,                   2.707734872, 100000,               1000,                 50                   
16,                   2.72094497, 100000,               1000,                 50                   
16,                   2.813147137, 125000,               800,                  50                   
16,                   2.728288632, 125000,               800,                  50                   
16,                   2.835947791, 125000,               800,                  50                   
16,                   2.810144359, 125000,               800,                  50                   
16,                   2.835177705, 125000,               800,                  50                   
16,                   2.874703629, 156250,               640,                  50                   
16,                   2.896550209, 156250,               640,                  50                   
16,                   2.856076859, 156250,               640,                  50                   
16,                   2.948686616, 156250,               640,                  50                   
16,                   2.882468722, 156250,               640,                  50                   
16,                   2.922327194, 160000,               625,                  50                   
16,                   2.864969317, 160000,               625,                  50                   
16,                   2.955239146, 160000,               625,                  50                   
16,                   2.928700314, 160000,               625,                  50                   
16,                   2.898882436, 160000,               625,                  50                   
16,                   2.969185886, 200000,               500,                  50                   
16,                   2.972389608, 200000,               500,                  50                   
16,                   2.979460687, 200000,               500,                  50                   
16,                   2.989173534, 200000,               500,                  50                   
16,                   2.970435449, 200000,               500,                  50                   
16,                   3.109789159, 250000,               400,                  50                   
16,                   3.090912632, 250000,               400,                  50                   
16,                   3.021367928, 250000,               400,                  50                   
16,                   3.100211916, 250000,               400,                  50                   
16,                   3.085706136, 250000,               400,                  50                   
16,                   3.086139855, 312500,               320,                  50                   
16,                   3.128929468, 312500,               320,                  50                   
16,                   3.133097136, 312500,               320,                  50                   
16,                   3.143775611, 312500,               320,                  50                   
16,                   3.101437038, 312500,               320,                  50                   
16,                   3.037757455, 390625,               256,                  50                   
16,                   3.06926389, 390625,               256,                  50                   
16,                   3.012693631, 390625,               256,                  50                   
16,                   3.006134972, 390625,               256,                  50                   
16,                   3.080189518, 390625,               256,                  50                   
16,                   3.074887244, 400000,               250,                  50                   
16,                   3.123093109, 400000,               250,                  50                   
16,                   3.108692337, 400000,               250,                  50                   
16,                   3.007385142, 400000,               250,                  50                   
16,                   2.990246121, 400000,               250,                  50                   
16,                   3.108544294, 500000,               200,                  50                   
16,                   3.191031118, 500000,               200,                  50                   
16,                   3.231227558, 500000,               200,                  50                   
16,                   3.088357813, 500000,               200,                  50                   
16,                   3.108335212, 500000,               200,                  50                   
16,                   3.264478921, 625000,               160,                  50                   
16,                   3.110325455, 625000,               160,                  50                   
16,                   3.224297192, 625000,               160,                  50                   
16,                   3.11248918, 625000,               160,                  50                   
16,                   3.042505937, 625000,               160,                  50                   
16,                   3.189913688, 781250,               128,                  50                   
16,                   3.057808367, 781250,               128,                  50                   
16,                   3.138512805, 781250,               128,                  50                   
16,                   3.166904666, 781250,               128,                  50                   
16,                   2.929924449, 781250,               128,                  50                   
16,                   3.022944966, 800000,               125,                  50                   
16,                   2.954695255, 800000,               125,                  50                   
16,                   3.178380599, 800000,               125,                  50                   
16,                   3.050418974, 800000,               125,                  50                   
16,                   2.938994474, 800000,               125,                  50                   
16,                   3.12036081, 1000000,              100,                  50                   
16,                   3.175460955, 1000000,              100,                  50                   
16,                   3.234586662, 1000000,              100,                  50                   
16,                   3.075408248, 1000000,              100,                  50                   
16,                   3.102211026, 1000000,              100,                  50                   
16,                   3.190942263, 1250000,              80,                   50                   
16,                   3.089114758, 1250000,              80,                   50                   
16,                   3.081247944, 1250000,              80,                   50                   
16,                   3.022201569, 1250000,              80,                   50                   
16,                   3.068846914, 1250000,              80,                   50                   
16,                   3.055437344, 1562500,              64,                   50                   
16,                   3.209262181, 1562500,              64,                   50                   
16,                   3.014490752, 1562500,              64,                   50                   
16,                   3.234965211, 1562500,              64,                   50                   
16,                   3.099114184, 1562500,              64,                   50                   
16,                   3.067909799, 2000000,              50,                   50                   
16,                   3.079919668, 2000000,              50,                   50                   
16,                   3.283293318, 2000000,              50,                   50                   
16,                   3.014545669, 2000000,              50,                   50                   
16,                   3.003122499, 2000000,              50,                   50                   
16,                   2.913598237, 2500000,              40,                   50                   
16,                   3.1474826, 2500000,              40,                   50                   
16,                   3.200889625, 2500000,              40,                   50                   
16,                   2.87458444, 2500000,              40,                   50                   
16,                   2.911350208, 2500000,              40,                   50                   
16,                   3.009398095, 3125000,              32,                   50                   
16,                   3.07193466, 3125000,              32,                   50                   
16,                   2.767264274, 3125000,              32,                   50                   
16,                   2.911461624, 3125000,              32,                   50                   
16,                   3.19588067, 3125000,              32,                   50                   
16,                   3.053864723, 6250000,              16,                   50                   
16,                   3.14041427, 6250000,              16,                   50                   
16,                   3.117007593, 6250000,              16,                   50                   
16,                   3.024906935, 6250000,              16,                   50                   
16,                   3.030741656, 6250000,              16,                   50                   
16,                   2.962344508, 12500000,             8,                    50                   
16,                   3.294658805, 12500000,             8,                    50                   
16,                   3.232799215, 12500000,             8,                    50                   
16,                   3.044897513, 12500000,             8,                    50                   
16,                   2.926489574, 12500000,             8,                    50                   
16,                   3.940074899, 25000000,             4,                    50                   
16,                   3.490509109, 25000000,             4,                    50                   
16,                   3.577849388, 25000000,             4,                    50                   
16,                   3.498572833, 25000000,             4,                    50                   
16,                   4.337371731, 25000000,             4,                    50                   
16,                   4.350786169, 50000000,             2,                    50                   
16,                   4.260710137, 50000000,             2,                    50                   
16,                   5.081079807, 50000000,             2,                    50                   
16,                   5.173623476, 50000000,             2,                    50                   
16,                   4.89067557, 50000000,             2,                    50                   
16,                   8.77680147, 100000000,            1,                    50                   
16,                   7.557698049, 100000000,            1,                    50                   
16,                   7.89775872, 100000000,            1,                    50                   
16,                   7.631069439, 100000000,            1,                    50                   
16,                   9.148892548, 100000000,            1,                    50                   
