OS_Threads,Execution_Time_sec,Points_per_Partition,Partitions,Time_Steps
8,                    52.177528635, 160,                  625000,               50                   
8,                    52.006196501, 160,                  625000,               50                   
8,                    52.202516764, 160,                  625000,               50                   
8,                    52.237350024, 160,                  625000,               50                   
8,                    52.269857215, 160,                  625000,               50                   
8,                    26.852689545, 320,                  312500,               50                   
8,                    26.604217957, 320,                  312500,               50                   
8,                    26.583473576, 320,                  312500,               50                   
8,                    27.009715897, 320,                  312500,               50                   
8,                    26.604303797, 320,                  312500,               50                   
8,                    14.146314048, 640,                  156250,               50                   
8,                    14.088955431, 640,                  156250,               50                   
8,                    14.157404763, 640,                  156250,               50                   
8,                    13.567872823, 640,                  156250,               50                   
8,                    13.761172871, 640,                  156250,               50                   
8,                    9.178157004, 1000,                 100000,               50                   
8,                    9.460511631, 1000,                 100000,               50                   
8,                    9.386992563, 1000,                 100000,               50                   
8,                    9.46067012, 1000,                 100000,               50                   
8,                    9.469351296, 1000,                 100000,               50                   
8,                    7.791718771, 1250,                 80000,                50                   
8,                    7.761307301, 1250,                 80000,                50                   
8,                    7.709024526, 1250,                 80000,                50                   
8,                    7.687916169, 1250,                 80000,                50                   
8,                    7.672061827, 1250,                 80000,                50                   
8,                    7.247283686, 1280,                 78125,                50                   
8,                    7.292479386, 1280,                 78125,                50                   
8,                    7.307241837, 1280,                 78125,                50                   
8,                    7.448447373, 1280,                 78125,                50                   
8,                    7.614796873, 1280,                 78125,                50                   
8,                    6.292199649, 1600,                 62500,                50                   
8,                    6.290940203, 1600,                 62500,                50                   
8,                    6.12680983, 1600,                 62500,                50                   
8,                    6.27936808, 1600,                 62500,                50                   
8,                    6.26282042, 1600,                 62500,                50                   
8,                    5.363382772, 2000,                 50000,                50                   
8,                    5.432421491, 2000,                 50000,                50                   
8,                    5.455525198, 2000,                 50000,                50                   
8,                    5.392722983, 2000,                 50000,                50                   
8,                    5.396124603, 2000,                 50000,                50                   
8,                    4.895269206, 2500,                 40000,                50                   
8,                    4.959326454, 2500,                 40000,                50                   
8,                    4.935397508, 2500,                 40000,                50                   
8,                    4.882001294, 2500,                 40000,                50                   
8,                    4.811467898, 2500,                 40000,                50                   
8,                    4.754177477, 3125,                 32000,                50                   
8,                    4.726681589, 3125,                 32000,                50                   
8,                    4.759378684, 3125,                 32000,                50                   
8,                    4.741111229, 3125,                 32000,                50                   
8,                    4.767783012, 3125,                 32000,                50                   
8,                    4.745933251, 3200,                 31250,                50                   
8,                    4.713724335, 3200,                 31250,                50                   
8,                    4.713576216, 3200,                 31250,                50                   
8,                    4.721750108, 3200,                 31250,                50                   
8,                    4.753717203, 3200,                 31250,                50                   
8,                    4.690020362, 4000,                 25000,                50                   
8,                    4.70790536, 4000,                 25000,                50                   
8,                    4.706295885, 4000,                 25000,                50                   
8,                    4.685108017, 4000,                 25000,                50                   
8,                    4.712350949, 4000,                 25000,                50                   
8,                    4.630656088, 5000,                 20000,                50                   
8,                    4.629354942, 5000,                 20000,                50                   
8,                    4.625032805, 5000,                 20000,                50                   
8,                    4.644245416, 5000,                 20000,                50                   
8,                    4.648133961, 5000,                 20000,                50                   
8,                    4.530296777, 6250,                 16000,                50                   
8,                    4.504239915, 6250,                 16000,                50                   
8,                    4.512505301, 6250,                 16000,                50                   
8,                    4.521569024, 6250,                 16000,                50                   
8,                    4.518859632, 6250,                 16000,                50                   
8,                    4.523563514, 6400,                 15625,                50                   
8,                    4.522532884, 6400,                 15625,                50                   
8,                    4.520006649, 6400,                 15625,                50                   
8,                    4.51706355, 6400,                 15625,                50                   
8,                    4.552233162, 6400,                 15625,                50                   
8,                    4.425231522, 8000,                 12500,                50                   
8,                    4.420990161, 8000,                 12500,                50                   
8,                    4.419066229, 8000,                 12500,                50                   
8,                    4.429956647, 8000,                 12500,                50                   
8,                    4.425908467, 8000,                 12500,                50                   
8,                    4.337636322, 10000,                10000,                50                   
8,                    4.324799518, 10000,                10000,                50                   
8,                    4.330343151, 10000,                10000,                50                   
8,                    4.335954624, 10000,                10000,                50                   
8,                    4.293896462, 10000,                10000,                50                   
8,                    3.07068667, 12500,                8000,                 50                   
8,                    4.064938412, 12500,                8000,                 50                   
8,                    3.227347749, 12500,                8000,                 50                   
8,                    3.380437069, 12500,                8000,                 50                   
8,                    4.270933188, 12500,                8000,                 50                   
8,                    3.209206756, 15625,                6400,                 50                   
8,                    3.005941297, 15625,                6400,                 50                   
8,                    3.220214795, 15625,                6400,                 50                   
8,                    3.248528613, 15625,                6400,                 50                   
8,                    3.657973995, 15625,                6400,                 50                   
8,                    3.959299954, 16000,                6250,                 50                   
8,                    3.107998802, 16000,                6250,                 50                   
8,                    3.173421593, 16000,                6250,                 50                   
8,                    3.287224326, 16000,                6250,                 50                   
8,                    3.234106493, 16000,                6250,                 50                   
8,                    2.824235768, 20000,                5000,                 50                   
8,                    2.774657801, 20000,                5000,                 50                   
8,                    3.052648956, 20000,                5000,                 50                   
8,                    2.904083771, 20000,                5000,                 50                   
8,                    2.873485138, 20000,                5000,                 50                   
8,                    2.827322557, 25000,                4000,                 50                   
8,                    2.867053617, 25000,                4000,                 50                   
8,                    3.042832491, 25000,                4000,                 50                   
8,                    2.893171232, 25000,                4000,                 50                   
8,                    3.010351979, 25000,                4000,                 50                   
8,                    2.525706466, 31250,                3200,                 50                   
8,                    2.753228687, 31250,                3200,                 50                   
8,                    2.982117275, 31250,                3200,                 50                   
8,                    2.804743814, 31250,                3200,                 50                   
8,                    2.916428308, 31250,                3200,                 50                   
8,                    2.856203124, 32000,                3125,                 50                   
8,                    2.682124356, 32000,                3125,                 50                   
8,                    2.902408985, 32000,                3125,                 50                   
8,                    2.926858185, 32000,                3125,                 50                   
8,                    2.839149412, 32000,                3125,                 50                   
8,                    2.568535799, 40000,                2500,                 50                   
8,                    2.660162435, 40000,                2500,                 50                   
8,                    2.785669485, 40000,                2500,                 50                   
8,                    2.897922778, 40000,                2500,                 50                   
8,                    2.566452194, 40000,                2500,                 50                   
8,                    2.964252771, 50000,                2000,                 50                   
8,                    2.81944231, 50000,                2000,                 50                   
8,                    2.924371779, 50000,                2000,                 50                   
8,                    2.877978774, 50000,                2000,                 50                   
8,                    2.806244885, 50000,                2000,                 50                   
8,                    3.057876816, 62500,                1600,                 50                   
8,                    3.097210409, 62500,                1600,                 50                   
8,                    3.02190232, 62500,                1600,                 50                   
8,                    3.141538499, 62500,                1600,                 50                   
8,                    3.064256712, 62500,                1600,                 50                   
8,                    3.270504618, 78125,                1280,                 50                   
8,                    3.21604386, 78125,                1280,                 50                   
8,                    3.152873218, 78125,                1280,                 50                   
8,                    3.223163774, 78125,                1280,                 50                   
8,                    3.200915162, 78125,                1280,                 50                   
8,                    3.232792862, 80000,                1250,                 50                   
8,                    3.230218925, 80000,                1250,                 50                   
8,                    3.274110166, 80000,                1250,                 50                   
8,                    3.200615131, 80000,                1250,                 50                   
8,                    3.22104971, 80000,                1250,                 50                   
8,                    3.428774551, 100000,               1000,                 50                   
8,                    3.471923586, 100000,               1000,                 50                   
8,                    3.391723103, 100000,               1000,                 50                   
8,                    3.415142293, 100000,               1000,                 50                   
8,                    3.466462375, 100000,               1000,                 50                   
8,                    3.741168525, 125000,               800,                  50                   
8,                    3.674461192, 125000,               800,                  50                   
8,                    3.634020133, 125000,               800,                  50                   
8,                    3.698256127, 125000,               800,                  50                   
8,                    3.704959351, 125000,               800,                  50                   
8,                    3.789428608, 156250,               640,                  50                   
8,                    3.792339945, 156250,               640,                  50                   
8,                    3.783237579, 156250,               640,                  50                   
8,                    3.798949702, 156250,               640,                  50                   
8,                    3.797042895, 156250,               640,                  50                   
8,                    3.786024419, 160000,               625,                  50                   
8,                    3.820185433, 160000,               625,                  50                   
8,                    3.817396586, 160000,               625,                  50                   
8,                    3.841598867, 160000,               625,                  50                   
8,                    3.817698413, 160000,               625,                  50                   
8,                    3.875019086, 200000,               500,                  50                   
8,                    3.880769329, 200000,               500,                  50                   
8,                    3.878590215, 200000,               500,                  50                   
8,                    3.878174963, 200000,               500,                  50                   
8,                    3.879645295, 200000,               500,                  50                   
8,                    3.905847917, 250000,               400,                  50                   
8,                    3.903005752, 250000,               400,                  50                   
8,                    3.90875159, 250000,               400,                  50                   
8,                    3.904768809, 250000,               400,                  50                   
8,                    3.904786481, 250000,               400,                  50                   
8,                    3.906913474, 312500,               320,                  50                   
8,                    3.91036015, 312500,               320,                  50                   
8,                    3.909064803, 312500,               320,                  50                   
8,                    3.911061135, 312500,               320,                  50                   
8,                    3.905301835, 312500,               320,                  50                   
8,                    3.909845314, 390625,               256,                  50                   
8,                    3.909301888, 390625,               256,                  50                   
8,                    3.896157612, 390625,               256,                  50                   
8,                    3.908904074, 390625,               256,                  50                   
